&Reac_Pressure,Coolant_OutletTemp,T10,ColumnPC_OP,CondDuty_OutletTemp
30.1085,46.1393,182.079,48.769,59.7328
30.1107,46.1026,182.078,48.773,59.7135
30.1128,46.066,182.076,48.7774,59.6945
30.115,46.0299,182.075,48.7829,59.6756
30.1171,45.9933,182.073,48.7891,59.6559
30.1192,45.9573,182.072,48.7938,59.6365
30.1214,45.921,182.07,48.7979,59.6175
30.1235,45.8847,182.068,48.8019,59.5985
30.1256,45.8483,182.067,48.8083,59.5792
30.1277,45.8119,182.065,48.814,59.5596
30.1298,45.7754,182.064,48.8178,59.5402
30.1319,45.739,182.062,48.823,59.5209
30.1339,45.7027,182.06,48.8279,59.5016
30.136,45.6663,182.059,48.834,59.4822
30.1381,45.6309,182.057,48.839,59.463
30.1402,45.5946,182.056,48.8433,59.4436
30.1423,45.5587,182.054,48.8475,59.4246
30.1444,45.5222,182.052,48.8529,59.4055
30.1465,45.4861,182.051,48.8592,59.3861
30.1486,45.4501,182.049,48.8653,59.3664
30.1507,45.414,182.048,48.869,59.3468
